ledger_id,status_id,date,record_type,account,primary_theme,service_recognition,mentioned_handles,hashtags,status_url,accounting_status
recovered-087,734492930262585344,2016-05-22,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|RLEspinal,CallNYC|Housing|LegalServices,https://x.com/CallNYCapp/status/734492930262585344,recovered
recovered-088,734897908353470464,2016-05-24,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|ChaimDeutsch|NYCCouncil,CallNYC|ParkingPermits,https://x.com/CallNYCapp/status/734897908353470464,recovered
recovered-089,735214806249144320,2016-05-24,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|JimmyVanBramer|NYCCouncil,CallNYC|SpeedBumpRequest,https://x.com/CallNYCapp/status/735214806249144320,recovered
recovered-090,735644754340401152,2016-05-26,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|StevenMatteo,CallNYC|StreetSigns,https://x.com/CallNYCapp/status/735644754340401152,recovered
recovered-091,735914869782904832,2016-05-26,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|HelenRosenthal|NYCCouncil,CallNYC|SeniorHousing,https://x.com/CallNYCapp/status/735914869782904832,recovered
recovered-092,736904163414675456,2016-05-29,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|MMViverito|NYCCouncil,CallNYC|NYCHAMisc,https://x.com/CallNYCapp/status/736904163414675456,recovered
recovered-093,738115545002807296,2016-06-01,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|RLEspinal,CallNYC|GreenCard,https://x.com/CallNYCapp/status/738115545002807296,recovered
recovered-094,738140834973900800,2016-06-01,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|ChaimDeutsch|NYCCouncil,AccessARide|CallNYC,https://x.com/CallNYCapp/status/738140834973900800,recovered
recovered-095,738458056716091392,2016-06-02,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|HelenRosenthal|NYCCouncil,BuildingMaintenance|CallNYC,https://x.com/CallNYCapp/status/738458056716091392,recovered
recovered-096,748532929802997760,2016-06-30,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|NYCCouncil|StevenMatteo,CallNYC|StreetFlooding,https://x.com/CallNYCapp/status/748532929802997760,recovered
recovered-097,753631998221033472,2016-07-14,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|CMReynoso34|NYCCouncil,CallNYC|TaxPrep,https://x.com/CallNYCapp/status/753631998221033472,recovered
recovered-098,753678962501390336,2016-07-14,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|MMViverito|NYCCouncil|NYCHA,CallNYC,https://x.com/CallNYCapp/status/753678962501390336,recovered
recovered-099,773637656555163648,2016-09-07,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|JulissaFerreras|NYCCouncil,AffordableHousing|CallNYC,https://x.com/CallNYCapp/status/773637656555163648,recovered
recovered-100,775370427644411904,2016-09-12,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|JimmyVanBramer|NYCCouncil,NYCHABuildingMaintenance,https://x.com/CallNYCapp/status/775370427644411904,recovered
recovered-101,776509377897500672,2016-09-15,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|JulissaFerreras|NYCCouncil,CallNYC|FoodStamps,https://x.com/CallNYCapp/status/776509377897500672,recovered
recovered-102,780797474277511170,2016-09-27,repost,HelenRosenthal,council-response-amplification,false,GoddardRiv|HelenRosenthal|HousingConCoord|MFYLegal|NYCCouncil,,https://x.com/HelenRosenthal/status/780797474277511170,recovered
recovered-103,783022174890229760,2016-10-03,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|CMMathieuEugene|NYCCouncil|NYCHousing,CallNYC|HPDHousingLottery,https://x.com/CallNYCapp/status/783022174890229760,recovered
recovered-104,783305320508514304,2016-10-04,repost,CMMathieuEugene,council-response-amplification,false,CallNYCapp|CMMathieuEugene|NYCCouncil|NYCHousing,CallNYC|housing|HPDHousingLottery,https://x.com/CMMathieuEugene/status/783305320508514304,recovered
recovered-105,783410245632655364,2016-10-04,authored-post,CallNYCapp,service-recognition,true,CallNYCapp|ChaimDeutsch|NYCCouncil,CallNYC|WaterQuality,https://x.com/CallNYCapp/status/783410245632655364,recovered
recovered-106,796473557387575297,2016-11-09,repost,wowlist,cross-project-continuity,false,wowlist,DownWithTrump,https://x.com/wowlist/status/796473557387575297,recovered
recovered-107,798274424763981824,2016-11-14,repost,wowlist,cross-project-continuity,false,wowlist,NotMyPresident|WeAreThePopularVote,https://x.com/wowlist/status/798274424763981824,recovered
unresolved-001,,,unresolved-control-gap,CallNYCApp,unresolved,false,,,,unrecovered
unresolved-002,,,unresolved-control-gap,CallNYCApp,unresolved,false,,,,unrecovered
unresolved-003,,,unresolved-control-gap,CallNYCApp,unresolved,false,,,,unrecovered
